Profile,h,b,t,s,r,W,Am,Sf
HEA100,96,100,8,5,12,16.6,0.561,0
HEA120,114,120,8,5,12,19.9,0.677,0
HEA140,133,140,8.5,5.5,12,24.6,0.794,0
HEA160,152,160,9,6,15,30.5,0.906,0
HEA180,171,180,9.5,6,15,35.6,1.02,0
HEA200,190,200,10,6.5,18,42.2,1.14,0
HEA220,210,220,11,7,18,50.5,1.26,0
HEA240,230,240,12,7.5,21,60.3,1.37,0
HEA260,250,260,12.5,7.5,24,68.1,1.48,0
HEA280,270,280,13,8,24,76.4,1.6,0
HEA300,290,300,14,8.5,27,88.7,1.72,0
HEA320,310,300,15.5,9,27,97.3,1.76,0
HEA340,330,300,16.5,9.5,27,104.4,1.79,0
HEA360,350,300,17.5,10,27,112.3,1.83,0
HEA400,390,300,19,11,27,124.8,1.91,0
HEA450,440,300,21,11.5,27,139.7,2.01,0
HEA500,490,300,23,12,27,155.4,2.11,0
HEA550,540,300,24,12.5,27,166.4,2.21,0
HEA600,590,300,25,13,27,177.4,2.31,0
HEA650,640,300,26,13.5,27,190,2.41,0
HEA700,690,300,27,14.5,27,204.1,2.5,0
HEA800,790,300,28,15,30,224.5,2.7,0
HEA900,890,300,30,16,30,252,2.9,0
HEA1000,990,300,31,16.5,30,272.4,3.1,0
HEB100,100,100,10,6,12,20.4,0.567,0
HEB120,120,120,11,6.5,12,26.7,0.686,0
HEB140,140,140,12,7,12,33.8,0.805,0
HEB160,160,160,13,8,15,42.6,0.918,0
HEB180,180,180,14,8.5,15,51.3,1.04,0
HEB200,200,200,15,9,18,61.3,1.15,0
HEB220,220,220,16,9.5,18,71.4,1.27,0
HEB240,240,240,17,10,21,83.2,1.38,0
HEB260,260,260,17.5,10,24,92.6,1.5,0
HEB280,280,280,18,10.5,24,102.8,1.62,0
HEB300,300,300,19,11,27,117,1.73,0
HEB320,320,300,20.5,11.5,27,126.4,1.77,0
HEB340,340,300,21.5,12,27,134.2,1.81,0
HEB360,360,300,22.5,12.5,27,142.1,1.85,0
HEB400,400,300,24,13.5,27,155.4,1.93,0
HEB450,450,300,26,14,27,171.1,2.03,0
HEB500,500,300,28,14.5,27,187.6,2.12,0
HEB550,550,300,29,15,27,199.4,2.22,0
HEB600,600,300,30,15.5,27,211.9,2.32,0
HEB650,650,300,31,16,27,224.5,2.42,0
HEB700,700,300,32,17,27,240.2,2.52,0
HEB800,800,300,33,17.5,30,262.2,2.71,0
HEB900,900,300,35,18.5,30,291.2,2.91,0
HEB1000,1000,300,36,19,30,314,3.11,0
UPN30,30,15,4.5,4,4.5,1.7,0.103,0.08
UPN40,40,20,5.5,5,5,2.9,0.142,0.08
UPN50,50,25,6,5,6,3.9,0.181,0.08
UPN60,60,30,6,6,6,5.1,0.215,0.08
UPN65,65,42,7.5,5.5,7.5,7.1,0.273,0.08
UPN80,80,45,8,6,8,8.6,0.312,0.08
UPN100,100,50,8.5,6,8.5,10.6,0.372,0.08
UPN120,120,55,9,7,9,13.3,0.434,0.08
UPN140,140,60,10,7,10,16,0.489,0.08
UPN160,160,65,10.5,7.5,10.5,18.8,0.546,0.08
UPN180,180,70,11,8,11,22,0.611,0.08
UPN200,200,75,11.5,8.5,11.5,25.3,0.661,0.08
UPN220,220,80,12.5,9,12.5,29.4,0.718,0.08
UPN240,240,85,13,9.5,13,33.2,0.775,0.08
UPN260,260,90,14,10,14,37.9,0.834,0.08
UPN280,280,95,15,10,15,41.8,0.89,0.08
UPN300,300,100,16,10,16,46.2,0.95,0.08
IPE100,100,55,5.7,4.1,7,8.1,0.4,0
IPE120,120,64,6.3,4.4,7,10.4,0.475,0
IPE140,140,73,6.9,4.7,7,12.9,0.551,0
IPE160,160,82,7.4,5,9,15.8,0.623,0
IPE180,180,91,8,5.3,9,18.8,0.698,0
IPE200,200,100,8.5,5.6,12,22.4,0.768,0
IPN80,80,42,5.9,3.9,3.9,6,0.304,0.14
IPN100,100,50,6.8,4.5,4.5,8.3,0.37,0.14
IPN120,120,58,7.7,5.1,5.1,11.1,0.439,0.14
IPN140,140,66,8.6,5.7,5.7,14.3,0.502,0.14
IPN160,160,74,9.5,6.3,6.3,17.9,0.575,0.14
IPN180,180,82,10.4,6.9,6.9,21.9,0.64,0.14
IPN200,200,90,11.3,7.5,7.5,26.2,0.709,0.14
IPN220,220,98,12.2,8.1,8.1,31,0.775,0.14
IPN240,240,106,13.1,8.7,8.7,36.2,0.844,0.14
IPN260,260,113,14.1,9.4,9.4,41.8,0.906,0.14
IPN280,280,119,15.2,10.1,10.1,47.9,0.966,0.14
IPN300,300,125,16.2,10.8,10.8,54.2,1.03,0.14
IPN320,320,131,17.3,11.5,11.5,61,1.09,0.14
IPN340,340,137,18.3,12.2,12.2,68.1,1.15,0.14
IPN360,360,143,19.5,13,13,76.1,1.21,0.14
IPN380,380,149,20.5,13.7,13.7,84,1.27,0.14
IPN400,400,155,21.6,14.4,14.4,92.4,1.33,0.14
IPN450,450,170,24.3,16.2,16.2,115.3,1.48,0.14
IPN500,500,185,27,18,18,140.8,1.63,0.14
IPN550,550,200,30,19,19,166.4,1.8,0.14
IPN600,600,215,32.4,21.6,21.6,199.2,1.92,0.14
